name,slug,price,stockQuantity,category,description,shortDescription,compareAtPrice,sku,careLevel,lightRequirement,wateringFrequency,isPetSafe,plantSize,growthRate,careInstructions,isFeatured,isActive,imageUrls
Snake Plant,snake-plant,95,25,Indoor Plants,"The Snake Plant (Sansevieria trifasciata) is one of the most popular and resilient houseplants. Known for its striking upright leaves with yellow edges, it's perfect for beginners and busy plant parents. This air-purifying champion thrives on neglect and can tolerate low light conditions.",Hardy air-purifying plant perfect for beginners,120,SNK-001,EASY,LOW,BI_WEEKLY,false,SMALL,SLOW,Water only when soil is completely dry. Prefers bright indirect light but tolerates low light.,true,true,https://images.unsplash.com/photo-1581595220892-b0739db3ba8c
Snake Plant Large,snake-plant-large,155,15,Indoor Plants,"Large Snake Plant (Sansevieria trifasciata) specimen perfect for making a statement. This mature plant features the characteristic sword-like leaves with vibrant yellow margins. Excellent air purifier that removes toxins while requiring minimal care.",Large statement Snake Plant for instant impact,,SNK-002,EASY,LOW,BI_WEEKLY,false,MEDIUM,SLOW,Water sparingly - every 2-3 weeks. Avoid overwatering.,true,true,https://images.unsplash.com/photo-1581595220892-b0739db3ba8c
ZZ Plant,zz-plant,105,20,Indoor Plants,"The ZZ Plant (Zamioculcas zamiifolia) is virtually indestructible with glossy, dark green leaves that add elegance to any space. This drought-tolerant beauty thrives in low light and forgives forgotten waterings, making it ideal for offices and low-maintenance homes.",Glossy indestructible plant for low light spaces,,ZZ-001,EASY,LOW,MONTHLY,false,SMALL,SLOW,Water monthly or when soil is dry. Extremely drought tolerant.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
ZZ Plant Medium,zz-plant-medium,175,12,Indoor Plants,"Medium-sized ZZ Plant perfect for desks or shelves. Features the signature glossy leaves and requires almost no maintenance. This size offers great value for creating instant greenery without the commitment of regular plant care.",Medium ZZ Plant for desks and shelves,,ZZ-002,EASY,LOW,MONTHLY,false,MEDIUM,SLOW,Water every 3-4 weeks. Allow soil to dry completely between waterings.,false,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Spider Plant,spider-plant,65,30,Indoor Plants,"The Spider Plant (Chlorophytum comosum) is a classic houseplant beloved for its arching green and white striped leaves and adorable plantlets. Safe for pets and excellent for beginners, it's perfect for hanging baskets or shelf displays.",Pet-safe classic with baby plantlets,,SP-001,EASY,MEDIUM,WEEKLY,true,SMALL,FAST,Keep soil slightly moist. Bright indirect light preferred.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Golden Pothos,golden-pothos,85,25,Indoor Plants,"Golden Pothos (Epipremnum aureum) is the ultimate trailing plant with heart-shaped leaves splashed with golden yellow. This vigorous grower is perfect for hanging baskets or climbing moss poles. Extremely forgiving and adaptable to various light conditions.",Ultimate trailing plant with golden variegation,,POT-001,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Allow top inch of soil to dry between waterings. Trim to maintain shape.,true,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Golden Pothos Hanging,golden-pothos-hanging,130,15,Indoor Plants,"Beautiful trailing Golden Pothos in a hanging format. This established plant comes ready to display with cascading vines that will continue growing. Perfect for adding vertical interest and bringing life to empty corners.",Trailing Pothos ready for hanging display,,POT-002,EASY,MEDIUM,WEEKLY,false,MEDIUM,FAST,Water when top soil feels dry. Pinch growing tips to encourage bushiness.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Peace Lily,peace-lily,120,18,Indoor Plants,"The Peace Lily (Spathiphyllum) combines beautiful white blooms with lush green foliage. Known as one of the top air-purifying plants, it dramatically droops when thirsty, making watering timing easy. Perfect for adding elegance to any room.",White-flowering air purifier with dramatic watering signals,,PL-001,EASY,MEDIUM,WEEKLY,false,SMALL,MODERATE,Water when leaves begin to droop slightly. Enjoys humidity.,true,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Peace Lily Medium,peace-lily-medium,185,10,Indoor Plants,"Medium Peace Lily perfect for floor placement or large surfaces. This size typically produces more frequent blooms and creates a substantial presence. The white spaths contrast beautifully with dark green leaves.",Medium Peace Lily for substantial presence,,PL-002,EASY,MEDIUM,WEEKLY,false,MEDIUM,MODERATE,Keep soil consistently moist but not soggy. Mist leaves regularly.,false,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Rubber Plant,rubber-plant,105,22,Indoor Plants,"The Rubber Plant (Ficus elastica) features large, glossy burgundy and green leaves that make a bold statement. This fast-growing beauty adapts well to indoor conditions and can grow quite tall, making it perfect for filling empty corners.",Bold statement plant with glossy burgundy leaves,,RUB-001,EASY,BRIGHT,WEEKLY,false,SMALL,MODERATE,Water when top inch of soil is dry. Wipe leaves clean monthly.,false,true,https://images.unsplash.com/photo-1542328694-2b8ad681d5ab
Rubber Plant Medium,rubber-plant-medium,175,15,Indoor Plants,"Medium Rubber Plant offering immediate impact with its large, glossy leaves. This size is perfect for creating a focal point while still being manageable for most spaces. Known for its air-purifying qualities.",Medium Rubber Plant for immediate impact,,RUB-002,EASY,BRIGHT,WEEKLY,false,MEDIUM,MODERATE,Bright indirect light preferred. Clean leaves with damp cloth monthly.,false,true,https://images.unsplash.com/photo-1542328694-2b8ad681d5ab
Monstera Deliciosa,monstera-deliciosa,155,20,Indoor Plants,"The Instagram-famous Monstera Deliciosa features iconic split leaves that develop beautiful fenestrations as it matures. This tropical beauty is surprisingly easy to care for and makes an impressive statement in any modern home.",Instagram-famous plant with iconic split leaves,,MON-001,MODERATE,BRIGHT,WEEKLY,false,SMALL,MODERATE,Bright indirect light. Water when top 2 inches of soil are dry.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Monstera Deliciosa Medium,monstera-deliciosa-medium,225,12,Indoor Plants,"Medium Monstera Deliciosa with developing fenestrations. This size shows the plant's characteristic splits and holes, making it perfect for those wanting the iconic Monstera look without waiting years for maturity.",Medium Monstera with developing split leaves,,MON-002,MODERATE,BRIGHT,WEEKLY,false,MEDIUM,MODERATE,Provide moss pole for climbing support. Wipe leaves weekly.,false,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Monstera with Moss Pole,monstera-moss-pole,395,8,Indoor Plants,"Large Monstera Deliciosa trained on a moss pole, displaying the full glory of its split leaves. This statement piece brings tropical elegance and architectural interest to any space. Perfect for plant enthusiasts ready for a showstopper.",Large Monstera on moss pole - ultimate statement piece,,MON-003,MODERATE,BRIGHT,WEEKLY,false,LARGE,MODERATE,Mist moss pole regularly. Train new growth onto pole.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Fiddle Leaf Fig,fiddle-leaf-fig,135,15,Indoor Plants,"The trendy Fiddle Leaf Fig (Ficus lyrata) features large, violin-shaped leaves that create an instant designer look. While it requires more attention than other houseplants, its dramatic presence makes it worth the effort for dedicated plant parents.",Trendy designer plant with violin-shaped leaves,,FLF-001,ADVANCED,BRIGHT,WEEKLY,false,SMALL,SLOW,Consistent watering schedule essential. Bright indirect light only.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Fiddle Leaf Fig Medium,fiddle-leaf-fig-medium,225,10,Indoor Plants,"Medium Fiddle Leaf Fig perfect for making a statement. This size showcases the plant's iconic large leaves while being manageable for most spaces. Requires consistent care but rewards with stunning architectural form.",Medium Fiddle Leaf Fig for statement displays,,FLF-002,ADVANCED,BRIGHT,WEEKLY,false,MEDIUM,SLOW,Avoid moving once established. Water consistently but avoid overwatering.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Fiddle Leaf Fig Large,fiddle-leaf-fig-large,485,5,Indoor Plants,"Large Fiddle Leaf Fig (1.6m tall) - the ultimate statement plant. This mature specimen features the full grandeur of large violin-shaped leaves. Perfect for those wanting instant impact and dramatic presence.",Ultimate statement Fiddle Leaf Fig - 1.6m tall,,FLF-003,ADVANCED,BRIGHT,WEEKLY,false,LARGE,SLOW,Premium care required. Stable environment essential.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Heart Leaf Philodendron,heart-leaf-philodendron,85,30,Indoor Plants,"The Heart Leaf Philodendron is a classic trailing plant with glossy heart-shaped leaves. Extremely easy to grow and propagate, it's perfect for beginners wanting a lush, trailing display. Grows quickly and looks beautiful in hanging baskets.",Classic trailing plant with heart-shaped leaves,,PH-001,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Bright indirect light. Allow soil to dry slightly between waterings.,false,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Brasil,philodendron-brasil,95,25,Indoor Plants,"Philodendron Brasil features stunning variegated leaves with splashes of lime green and yellow. This fast-growing trailer adds bright color to any space and is just as easy to care for as its solid green cousin.",Variegated trailing philodendron with lime green splashes,,PH-002,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Bright light enhances variegation. Pinch tips to encourage bushiness.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Pink Princess,philodendron-pink-princess,185,12,Indoor Plants,"The coveted Philodendron Pink Princess features stunning pink variegation on dark green leaves. Once extremely rare and expensive, this beauty is now more accessible while maintaining its status as a collector's favorite.",Coveted philodendron with stunning pink variegation,,PH-003,MODERATE,BRIGHT,WEEKLY,false,SMALL,MODERATE,Bright light essential for pink coloration. Higher humidity preferred.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Bird of Paradise,bird-of-paradise,195,12,Outdoor Plants,"The Bird of Paradise (Strelitzia reginae) produces spectacular orange and blue bird-like flowers. This South African native thrives in our climate and makes a stunning garden centerpiece. Mature plants bloom regularly with proper care.",Spectacular bird-like flowers - South African native,,BOP-001,MODERATE,DIRECT_SUN,BI_WEEKLY,false,MEDIUM,MODERATE,Full sun required for flowering. Deep watering twice weekly in summer.,true,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Wild Banana Small,wild-banana-small,85,20,Outdoor Plants,"Small Strelitzia nicolai (Wild Banana) perfect for starting your tropical garden. This South African indigenous plant develops large paddle-shaped leaves and can eventually reach impressive heights. Ideal for creating tropical ambiance.",Small Wild Banana for tropical gardens,,WB-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Protection from strong winds essential. Regular watering in growing season.,false,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Wild Banana Medium,wild-banana-medium,220,12,Outdoor Plants,"Medium Wild Banana showing developing tropical foliage. This indigenous beauty adapts well to South African conditions and creates instant tropical appeal. Perfect for patios and protected garden areas.",Medium Wild Banana with developing tropical foliage,,WB-002,MODERATE,BRIGHT,BI_WEEKLY,false,MEDIUM,MODERATE,Shelter from wind. Mulch around base to retain moisture.,false,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Wild Banana Large,wild-banana-large,350,8,Outdoor Plants,"Large Wild Banana specimen for immediate tropical impact. This established plant brings instant drama to gardens and patios. Being indigenous to South Africa, it's well-adapted to our climate conditions.",Large Wild Banana for instant tropical impact,,WB-003,MODERATE,BRIGHT,BI_WEEKLY,false,LARGE,MODERATE,Wind protection crucial. Deep weekly watering in summer.,true,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Clivia Bush Lily,clivia-bush-lily,120,18,Outdoor Plants,"Clivia miniata produces clusters of bright orange flowers in spring. This South African indigenous plant thrives in semi-shade and is perfect for areas where other plants struggle. Extremely hardy once established.",South African native with bright orange spring flowers,,CLI-001,EASY,MEDIUM,WEEKLY,false,SMALL,SLOW,Semi-shade preferred. Drought tolerant once established.,true,true,https://images.unsplash.com/photo-1616963947134-b2e9c4ac8d0f
Clivia Large Flowering,clivia-large-flowering,220,10,Outdoor Plants,"Large flowering Clivia specimen ready to bloom. These mature plants produce spectacular displays of orange flowers and are perfect for creating focal points in semi-shaded garden areas.",Large flowering Clivia for spectacular spring displays,,CLI-002,EASY,MEDIUM,WEEKLY,false,LARGE,SLOW,Established plants very drought tolerant. Flowers best with winter rest.,false,true,https://images.unsplash.com/photo-1616963947134-b2e9c4ac8d0f
Spekboom,spekboom,75,25,Outdoor Plants,"Spekboom (Portulacaria afra) is a water-wise South African succulent perfect for xeriscaping. Known as the 'elephant bush', it's drought-tolerant, fast-growing, and excellent for sustainable gardening practices.",Water-wise South African succulent for xeriscaping,,SPK-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,FAST,Extremely drought tolerant. Minimal watering required.,true,true,https://images.unsplash.com/photo-1523275335684-37898b6baf30
Lavender,lavender,85,30,Outdoor Plants,"Fragrant English Lavender produces beautiful purple flower spikes and aromatic foliage. Perfect for herb gardens, borders, and attracting beneficial insects. Thrives in South African conditions with minimal water.",Fragrant purple flowers perfect for herb gardens,,LAV-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,MODERATE,Full sun essential. Allow soil to dry between waterings.,true,true,https://images.unsplash.com/photo-1611909189299-85dd6c8a3de8
Rosemary,rosemary,75,25,Outdoor Plants,"Aromatic Rosemary is essential for any herb garden. This hardy Mediterranean herb thrives in South African conditions and provides year-round fresh herbs for cooking. Drought-tolerant once established.",Essential aromatic herb for cooking,,ROS-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,MODERATE,Well-draining soil essential. Pinch flowers to maintain leaf production.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Thyme,thyme,65,35,Outdoor Plants,"Common Thyme is a compact herb perfect for containers or herb gardens. This hardy perennial provides fresh herbs year-round and attracts beneficial insects. Very drought-tolerant once established.",Compact herb perfect for containers,,THY-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,SLOW,Harvest regularly to encourage new growth. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Oregano,oregano,75,30,Outdoor Plants,"Oregano is essential for Mediterranean cooking and thrives in South African gardens. This spreading herb produces small white flowers that attract bees. Harvest leaves throughout the growing season.",Essential Mediterranean herb for cooking,,ORE-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,MODERATE,Pinch flowers to maintain leaf flavor. Spreads readily.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Sage,sage,85,25,Outdoor Plants,"Garden Sage offers beautiful silver-green foliage and is essential for cooking. This hardy perennial herb thrives with minimal care and produces lovely purple flower spikes that attract pollinators.",Silver-green herb with purple flower spikes,,SAG-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,SLOW,Cut back after flowering. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Mint,mint,65,30,Outdoor Plants,"Fresh Mint is perfect for teas, cocktails, and cooking. This vigorous grower prefers moist conditions and some shade. Best grown in containers to prevent spreading throughout the garden.",Vigorous herb perfect for teas and cocktails,,MIN-001,EASY,MEDIUM,BI_WEEKLY,true,SMALL,FAST,Keep soil moist. Contains spread by growing in pots.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Basil,basil,55,40,Outdoor Plants,"Sweet Basil is essential for any herb garden. This annual herb produces aromatic leaves perfect for cooking and needs warm conditions to thrive. Pinch flowers to encourage leaf production.",Essential aromatic herb for Italian cooking,,BAS-001,EASY,DIRECT_SUN,BI_WEEKLY,true,SMALL,FAST,Warm conditions essential. Pinch flowers regularly.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Parsley,parsley,55,35,Outdoor Plants,"Flat-leaf Parsley provides fresh herbs for cooking year-round. This biennial herb prefers cooler conditions and some afternoon shade. Essential for any kitchen garden.",Fresh flat-leaf variety for cooking,,PAR-001,EASY,MEDIUM,BI_WEEKLY,true,SMALL,MODERATE,Some afternoon shade appreciated. Harvest outer leaves first.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Aloe Vera,aloe-vera,65,40,Succulents,"Aloe Vera is famous for its medicinal properties and ease of care. This succulent produces healing gel in its thick leaves and is perfect for sunny spots. Virtually indestructible once established.",Famous medicinal succulent with healing gel,,AV-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Well-draining soil essential. Water deeply but infrequently.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Aloe Vera Medium,aloe-vera-medium,105,25,Succulents,"Medium Aloe Vera plant perfect for medicinal use. This size provides plenty of gel for first aid while being easy to manage. The thick succulent leaves store water making it extremely drought-tolerant.",Medium Aloe Vera perfect for medicinal use,,AV-002,EASY,DIRECT_SUN,MONTHLY,false,MEDIUM,SLOW,Harvest outer leaves for gel. Extremely drought tolerant.,false,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Jade Plant,jade-plant,55,35,Succulents,"The Jade Plant (Crassula ovata) is considered a symbol of good luck and prosperity. This easy-care succulent develops thick stems and glossy leaves, eventually becoming a miniature tree. Perfect for beginners.",Lucky plant that develops into miniature tree,,JP-001,EASY,BRIGHT,MONTHLY,false,SMALL,SLOW,Water when soil is completely dry. Can go weeks without water.,true,true,https://images.unsplash.com/photo-1461301214746-1e109215d6d3
Jade Plant Medium,jade-plant-medium,95,20,Succulents,"Medium Jade Plant showing developed structure. This size demonstrates the plant's tree-like growth habit with thick stems and branches. A living sculpture that improves with age.",Medium Jade Plant with tree-like structure,,JP-002,EASY,BRIGHT,MONTHLY,false,MEDIUM,SLOW,Ancient plants can survive months without water. Very low maintenance.,false,true,https://images.unsplash.com/photo-1461301214746-1e109215d6d3
Echeveria Mixed,echeveria-mixed,50,45,Succulents,"Beautiful rosette-forming Echeveria in various colors including pink, purple, and blue-green. These compact succulents are perfect for arrangements and container gardens. Low-maintenance and drought-tolerant.",Colorful rosette succulents perfect for arrangements,,ECH-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright light maintains colors. Water at soil level to avoid leaf rot.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64dmixed,50,45,Succulents,"Beautiful rosette-forming Echeveria in various colors including pink, purple, and blue-green. These compact succulents are perfect for arrangements and container gardens. Low-maintenance and drought-tolerant.",Colorful rosette succulents perfect for arrangements,,ECH-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright light maintains colors. Water at soil level to avoid leaf rot.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Haworthia,haworthia,60,30,Succulents,"Haworthia species form attractive small rosettes with interesting textures and patterns. These compact succulents are perfect for bright windowsills and require minimal care. Many varieties available.",Small rosette succulents with interesting patterns,,HAW-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Bright indirect light preferred. Water sparingly in winter.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
String of Pearls,string-of-pearls,75,25,Succulents,"String of Pearls (Senecio rowleyanus) produces cascading stems of bead-like leaves. This unique trailing succulent is perfect for hanging baskets and adds interesting texture to succulent displays.",Cascading succulent with bead-like leaves,,SOP-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Hanging display preferred. Allow soil to dry completely between waterings.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
String of Hearts,string-of-hearts,85,20,Succulents,"String of Hearts (Ceropegia woodii) features heart-shaped leaves on trailing stems. This charming succulent is perfect for hanging displays and is surprisingly easy to propagate from cuttings.",Heart-shaped leaves on trailing stems,,SOH-001,EASY,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,Bright light enhances pink coloration. Tubers form along stems.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Barrel Cactus,barrel-cactus,65,25,Succulents,"The classic Barrel Cactus (Echinocactus) forms a perfect sphere covered in prominent spines. This slow-growing cactus requires minimal care and adds architectural interest to succulent collections.",Classic spherical cactus with prominent spines,,BC-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Full sun essential. Water very sparingly in winter.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Prickly Pear,prickly-pear,55,30,Succulents,"Prickly Pear Cactus (Opuntia) forms flat paddle-shaped segments and produces colorful flowers. This hardy cactus is extremely drought-tolerant and perfect for xeriscaping.",Hardy cactus with flat paddle segments,,PP-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,MODERATE,Extremely drought tolerant. Handle with care due to spines.,false,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Christmas Cactus,christmas-cactus,75,20,Succulents,"Christmas Cactus (Schlumbergera) produces beautiful flowers in winter. Unlike desert cacti, this forest cactus prefers some humidity and indirect light. Perfect for holiday decorating.",Winter-flowering cactus perfect for holidays,,CC-001,EASY,MEDIUM,WEEKLY,false,SMALL,SLOW,Unlike desert cacti - prefers humidity and regular watering.,true,true,https://images.unsplash.com/photo-1502426899022-ee2eda65b0aa
Gasteria Ox Tongue,gasteria-ox-tongue,75,25,Succulents,"Gasteria (Ox Tongue) is a South African indigenous succulent with thick, tongue-shaped leaves marked with white spots. Very hardy and perfect for shaded succulent gardens.",South African indigenous succulent for shade,,GT-001,EASY,MEDIUM,MONTHLY,false,SMALL,SLOW,Tolerates more shade than most succulents. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Lithops Living Stones,lithops-living-stones,105,15,Succulents,"Lithops (Living Stones) are fascinating succulents that mimic stones. These unique plants flower annually and require special care with distinct dry and growing seasons. Perfect for succulent enthusiasts.",Fascinating stone-mimicking succulents,,LIT-001,ADVANCED,BRIGHT,MONTHLY,false,SMALL,SLOW,Complex watering cycle. Dry period essential for survival.,true,true,https://images.unsplash.com/photo-1515263487990-61b07816b64d
Ceramic Pot Small,ceramic-pot-small,65,50,Accessories,"Small ceramic pot perfect for desk plants and small spaces. Features drainage hole and saucer. Available in neutral colors that complement any décor. Durable ceramic construction ensures long-lasting use.",Small ceramic pot with drainage hole,,CP-001,,,,,,,High-quality ceramic construction with proper drainage.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
Ceramic Pot Medium,ceramic-pot-medium,85,40,Accessories,"Medium ceramic pot ideal for most houseplants. Features modern design with drainage system. Perfect size for statement plants while fitting on most surfaces. Quality glazed finish resists fading.",Medium ceramic pot for houseplants,,CP-002,,,,,,,Includes saucer for surface protection.,false,true,https://images.unsplash.com/photo-1549298916-b41d501d3772
